the,of,is,cause
pokemon/stat/attack,3ZqkDUDQcbfGQDB1pRmovgrsgrZmGMPjagMFKHYEyRSr,120,
pokemon/stat/defense,3ZqkDUDQcbfGQDB1pRmovgrsgrZmGMPjagMFKHYEyRSr,60,
pokemon/stat/hp,3ZqkDUDQcbfGQDB1pRmovgrsgrZmGMPjagMFKHYEyRSr,144,
pokemon/stat/special-attack,3ZqkDUDQcbfGQDB1pRmovgrsgrZmGMPjagMFKHYEyRSr,40,
pokemon/stat/special-defense,3ZqkDUDQcbfGQDB1pRmovgrsgrZmGMPjagMFKHYEyRSr,60,
pokemon/stat/speed,3ZqkDUDQcbfGQDB1pRmovgrsgrZmGMPjagMFKHYEyRSr,50,
pokemon/type/0,3ZqkDUDQcbfGQDB1pRmovgrsgrZmGMPjagMFKHYEyRSr,fighting,
pokemon/name,3aWh55Vf1RWFJke6jEp5cBa1Y84CBgTwair6XA4yqevh,quagsire,
pokemon/stat/attack,3aWh55Vf1RWFJke6jEp5cBa1Y84CBgTwair6XA4yqevh,85,
pokemon/stat/defense,3aWh55Vf1RWFJke6jEp5cBa1Y84CBgTwair6XA4yqevh,85,
pokemon/stat/hp,3aWh55Vf1RWFJke6jEp5cBa1Y84CBgTwair6XA4yqevh,95,
pokemon/stat/special-attack,3aWh55Vf1RWFJke6jEp5cBa1Y84CBgTwair6XA4yqevh,65,
pokemon/stat/special-defense,3aWh55Vf1RWFJke6jEp5cBa1Y84CBgTwair6XA4yqevh,65,
pokemon/stat/speed,3aWh55Vf1RWFJke6jEp5cBa1Y84CBgTwair6XA4yqevh,35,
pokemon/type/0,3aWh55Vf1RWFJke6jEp5cBa1Y84CBgTwair6XA4yqevh,water,
pokemon/type/1,3aWh55Vf1RWFJke6jEp5cBa1Y84CBgTwair6XA4yqevh,ground,
pokemon/name,3agjkuZMh9b9Er6yBHQBeHE8bVYEd9ZzovTsFZjmVbH3,gholdengo,
pokemon/stat/attack,3agjkuZMh9b9Er6yBHQBeHE8bVYEd9ZzovTsFZjmVbH3,60,
pokemon/stat/defense,3agjkuZMh9b9Er6yBHQBeHE8bVYEd9ZzovTsFZjmVbH3,95,
pokemon/stat/hp,3agjkuZMh9b9Er6yBHQBeHE8bVYEd9ZzovTsFZjmVbH3,87,
pokemon/stat/special-attack,3agjkuZMh9b9Er6yBHQBeHE8bVYEd9ZzovTsFZjmVbH3,133,
pokemon/stat/special-defense,3agjkuZMh9b9Er6yBHQBeHE8bVYEd9ZzovTsFZjmVbH3,91,
pokemon/stat/speed,3agjkuZMh9b9Er6yBHQBeHE8bVYEd9ZzovTsFZjmVbH3,84,
pokemon/type/0,3agjkuZMh9b9Er6yBHQBeHE8bVYEd9ZzovTsFZjmVbH3,steel,
pokemon/type/1,3agjkuZMh9b9Er6yBHQBeHE8bVYEd9ZzovTsFZjmVbH3,ghost,
pokemon/name,3apjTZ9SQCucnx61YAz4oPkXG8r3vTb4ugJgq1nEr3jf,dhelmise,
pokemon/stat/attack,3apjTZ9SQCucnx61YAz4oPkXG8r3vTb4ugJgq1nEr3jf,131,
pokemon/stat/defense,3apjTZ9SQCucnx61YAz4oPkXG8r3vTb4ugJgq1nEr3jf,100,
pokemon/stat/hp,3apjTZ9SQCucnx61YAz4oPkXG8r3vTb4ugJgq1nEr3jf,70,
pokemon/stat/special-attack,3apjTZ9SQCucnx61YAz4oPkXG8r3vTb4ugJgq1nEr3jf,86,
pokemon/stat/special-defense,3apjTZ9SQCucnx61YAz4oPkXG8r3vTb4ugJgq1nEr3jf,90,
pokemon/stat/speed,3apjTZ9SQCucnx61YAz4oPkXG8r3vTb4ugJgq1nEr3jf,40,
pokemon/type/0,3apjTZ9SQCucnx61YAz4oPkXG8r3vTb4ugJgq1nEr3jf,ghost,
pokemon/type/1,3apjTZ9SQCucnx61YAz4oPkXG8r3vTb4ugJgq1nEr3jf,grass,
pokemon/name,3bSs4hkPd9RyRVnoLg3PKrNHJkLU9JgBiknrcq6ybwXS,parasect,
pokemon/stat/attack,3bSs4hkPd9RyRVnoLg3PKrNHJkLU9JgBiknrcq6ybwXS,95,
pokemon/stat/defense,3bSs4hkPd9RyRVnoLg3PKrNHJkLU9JgBiknrcq6ybwXS,80,
pokemon/stat/hp,3bSs4hkPd9RyRVnoLg3PKrNHJkLU9JgBiknrcq6ybwXS,60,
pokemon/stat/special-attack,3bSs4hkPd9RyRVnoLg3PKrNHJkLU9JgBiknrcq6ybwXS,60,
pokemon/stat/special-defense,3bSs4hkPd9RyRVnoLg3PKrNHJkLU9JgBiknrcq6ybwXS,80,
pokemon/stat/speed,3bSs4hkPd9RyRVnoLg3PKrNHJkLU9JgBiknrcq6ybwXS,30,
pokemon/type/0,3bSs4hkPd9RyRVnoLg3PKrNHJkLU9JgBiknrcq6ybwXS,bug,
pokemon/type/1,3bSs4hkPd9RyRVnoLg3PKrNHJkLU9JgBiknrcq6ybwXS,grass,
pokemon/name,3bcFogziP9Jpc7RRUkPN2r5UNg2UNbbtP1U9MgXezuQe,galvantula,
pokemon/stat/attack,3bcFogziP9Jpc7RRUkPN2r5UNg2UNbbtP1U9MgXezuQe,77,
pokemon/stat/defense,3bcFogziP9Jpc7RRUkPN2r5UNg2UNbbtP1U9MgXezuQe,60,
pokemon/stat/hp,3bcFogziP9Jpc7RRUkPN2r5UNg2UNbbtP1U9MgXezuQe,70,
pokemon/stat/special-attack,3bcFogziP9Jpc7RRUkPN2r5UNg2UNbbtP1U9MgXezuQe,97,
pokemon/stat/special-defense,3bcFogziP9Jpc7RRUkPN2r5UNg2UNbbtP1U9MgXezuQe,60,
pokemon/stat/speed,3bcFogziP9Jpc7RRUkPN2r5UNg2UNbbtP1U9MgXezuQe,108,
pokemon/type/0,3bcFogziP9Jpc7RRUkPN2r5UNg2UNbbtP1U9MgXezuQe,bug,
pokemon/type/1,3bcFogziP9Jpc7RRUkPN2r5UNg2UNbbtP1U9MgXezuQe,electric,
pokemon/name,3biosPDf1bc2t8F9PKYMnKWD1MyJEkax12BysHnkAL8L,toxtricity-amped-gmax,
pokemon/stat/attack,3biosPDf1bc2t8F9PKYMnKWD1MyJEkax12BysHnkAL8L,98,
pokemon/stat/defense,3biosPDf1bc2t8F9PKYMnKWD1MyJEkax12BysHnkAL8L,70,
pokemon/stat/hp,3biosPDf1bc2t8F9PKYMnKWD1MyJEkax12BysHnkAL8L,75,
pokemon/stat/special-attack,3biosPDf1bc2t8F9PKYMnKWD1MyJEkax12BysHnkAL8L,114,
pokemon/stat/special-defense,3biosPDf1bc2t8F9PKYMnKWD1MyJEkax12BysHnkAL8L,70,
pokemon/stat/speed,3biosPDf1bc2t8F9PKYMnKWD1MyJEkax12BysHnkAL8L,75,
pokemon/type/0,3biosPDf1bc2t8F9PKYMnKWD1MyJEkax12BysHnkAL8L,electric,
pokemon/type/1,3biosPDf1bc2t8F9PKYMnKWD1MyJEkax12BysHnkAL8L,poison,
pokemon/name,3c3pCN3moSdSWKePaHNDHzzpFZWrBQXv9kgHxnxLHyA5,qwilfish,
pokemon/stat/attack,3c3pCN3moSdSWKePaHNDHzzpFZWrBQXv9kgHxnxLHyA5,95,
pokemon/stat/defense,3c3pCN3moSdSWKePaHNDHzzpFZWrBQXv9kgHxnxLHyA5,85,
pokemon/stat/hp,3c3pCN3moSdSWKePaHNDHzzpFZWrBQXv9kgHxnxLHyA5,65,
pokemon/stat/special-attack,3c3pCN3moSdSWKePaHNDHzzpFZWrBQXv9kgHxnxLHyA5,55,
pokemon/stat/special-defense,3c3pCN3moSdSWKePaHNDHzzpFZWrBQXv9kgHxnxLHyA5,55,
pokemon/stat/speed,3c3pCN3moSdSWKePaHNDHzzpFZWrBQXv9kgHxnxLHyA5,85,
pokemon/type/0,3c3pCN3moSdSWKePaHNDHzzpFZWrBQXv9kgHxnxLHyA5,water,
pokemon/type/1,3c3pCN3moSdSWKePaHNDHzzpFZWrBQXv9kgHxnxLHyA5,poison,
pokemon/name,3cZ3gwX6Lv2TEYSZXG4kTz6Gr2VajGbpaPm1b9QqYabE,drapion,
pokemon/stat/attack,3cZ3gwX6Lv2TEYSZXG4kTz6Gr2VajGbpaPm1b9QqYabE,90,
pokemon/stat/defense,3cZ3gwX6Lv2TEYSZXG4kTz6Gr2VajGbpaPm1b9QqYabE,110,
pokemon/stat/hp,3cZ3gwX6Lv2TEYSZXG4kTz6Gr2VajGbpaPm1b9QqYabE,70,
pokemon/stat/special-attack,3cZ3gwX6Lv2TEYSZXG4kTz6Gr2VajGbpaPm1b9QqYabE,60,
pokemon/stat/special-defense,3cZ3gwX6Lv2TEYSZXG4kTz6Gr2VajGbpaPm1b9QqYabE,75,
pokemon/stat/speed,3cZ3gwX6Lv2TEYSZXG4kTz6Gr2VajGbpaPm1b9QqYabE,95,
pokemon/type/0,3cZ3gwX6Lv2TEYSZXG4kTz6Gr2VajGbpaPm1b9QqYabE,poison,
pokemon/type/1,3cZ3gwX6Lv2TEYSZXG4kTz6Gr2VajGbpaPm1b9QqYabE,dark,
pokemon/name,3cbTvZ8XpZvMAvMZq8Srf5Z9NnYpVYcKAXjkCWLMXqbw,whirlipede,
pokemon/stat/attack,3cbTvZ8XpZvMAvMZq8Srf5Z9NnYpVYcKAXjkCWLMXqbw,55,
pokemon/stat/defense,3cbTvZ8XpZvMAvMZq8Srf5Z9NnYpVYcKAXjkCWLMXqbw,99,
pokemon/stat/hp,3cbTvZ8XpZvMAvMZq8Srf5Z9NnYpVYcKAXjkCWLMXqbw,40,
pokemon/stat/special-attack,3cbTvZ8XpZvMAvMZq8Srf5Z9NnYpVYcKAXjkCWLMXqbw,40,
pokemon/stat/special-defense,3cbTvZ8XpZvMAvMZq8Srf5Z9NnYpVYcKAXjkCWLMXqbw,79,
pokemon/stat/speed,3cbTvZ8XpZvMAvMZq8Srf5Z9NnYpVYcKAXjkCWLMXqbw,47,
pokemon/type/0,3cbTvZ8XpZvMAvMZq8Srf5Z9NnYpVYcKAXjkCWLMXqbw,bug,
pokemon/type/1,3cbTvZ8XpZvMAvMZq8Srf5Z9NnYpVYcKAXjkCWLMXqbw,poison,
pokemon/name,3dTaivhLUF5cmjZA8MArvQwear3sH5uz84Syn1nsKvV5,exploud,
pokemon/stat/attack,3dTaivhLUF5cmjZA8MArvQwear3sH5uz84Syn1nsKvV5,91,
pokemon/stat/defense,3dTaivhLUF5cmjZA8MArvQwear3sH5uz84Syn1nsKvV5,63,
pokemon/stat/hp,3dTaivhLUF5cmjZA8MArvQwear3sH5uz84Syn1nsKvV5,104,
pokemon/stat/special-attack,3dTaivhLUF5cmjZA8MArvQwear3sH5uz84Syn1nsKvV5,91,
pokemon/stat/special-defense,3dTaivhLUF5cmjZA8MArvQwear3sH5uz84Syn1nsKvV5,73,
pokemon/stat/speed,3dTaivhLUF5cmjZA8MArvQwear3sH5uz84Syn1nsKvV5,68,
pokemon/type/0,3dTaivhLUF5cmjZA8MArvQwear3sH5uz84Syn1nsKvV5,normal,
pokemon/name,3ezXoYGYdvDc26XGmdE5cCC1wGqjiKqPA5sevaj1ywc3,mudbray,
pokemon/stat/attack,3ezXoYGYdvDc26XGmdE5cCC1wGqjiKqPA5sevaj1ywc3,100,
pokemon/stat/defense,3ezXoYGYdvDc26XGmdE5cCC1wGqjiKqPA5sevaj1ywc3,70,
pokemon/stat/hp,3ezXoYGYdvDc26XGmdE5cCC1wGqjiKqPA5sevaj1ywc3,70,
pokemon/stat/special-attack,3ezXoYGYdvDc26XGmdE5cCC1wGqjiKqPA5sevaj1ywc3,45,
pokemon/stat/special-defense,3ezXoYGYdvDc26XGmdE5cCC1wGqjiKqPA5sevaj1ywc3,55,
pokemon/stat/speed,3ezXoYGYdvDc26XGmdE5cCC1wGqjiKqPA5sevaj1ywc3,45,
pokemon/type/0,3ezXoYGYdvDc26XGmdE5cCC1wGqjiKqPA5sevaj1ywc3,ground,
pokemon/name,3foDc6UrVWUt9TaMZLn85NKp7U7ouJeDzwfVkmmPzazK,rotom-heat,
pokemon/stat/attack,3foDc6UrVWUt9TaMZLn85NKp7U7ouJeDzwfVkmmPzazK,65,
pokemon/stat/defense,3foDc6UrVWUt9TaMZLn85NKp7U7ouJeDzwfVkmmPzazK,107,
pokemon/stat/hp,3foDc6UrVWUt9TaMZLn85NKp7U7ouJeDzwfVkmmPzazK,50,
pokemon/stat/special-attack,3foDc6UrVWUt9TaMZLn85NKp7U7ouJeDzwfVkmmPzazK,105,
pokemon/stat/special-defense,3foDc6UrVWUt9TaMZLn85NKp7U7ouJeDzwfVkmmPzazK,107,
pokemon/stat/speed,3foDc6UrVWUt9TaMZLn85NKp7U7ouJeDzwfVkmmPzazK,86,
pokemon/type/0,3foDc6UrVWUt9TaMZLn85NKp7U7ouJeDzwfVkmmPzazK,electric,
pokemon/type/1,3foDc6UrVWUt9TaMZLn85NKp7U7ouJeDzwfVkmmPzazK,fire,
pokemon/name,3hF3ufTLFwoFyN8BNoToEV4MCovk9Xjnxw95zQBgHbdH,houndour,
pokemon/stat/attack,3hF3ufTLFwoFyN8BNoToEV4MCovk9Xjnxw95zQBgHbdH,60,
pokemon/stat/defense,3hF3ufTLFwoFyN8BNoToEV4MCovk9Xjnxw95zQBgHbdH,30,
pokemon/stat/hp,3hF3ufTLFwoFyN8BNoToEV4MCovk9Xjnxw95zQBgHbdH,45,
pokemon/stat/special-attack,3hF3ufTLFwoFyN8BNoToEV4MCovk9Xjnxw95zQBgHbdH,80,
pokemon/stat/special-defense,3hF3ufTLFwoFyN8BNoToEV4MCovk9Xjnxw95zQBgHbdH,50,
pokemon/stat/speed,3hF3ufTLFwoFyN8BNoToEV4MCovk9Xjnxw95zQBgHbdH,65,
pokemon/type/0,3hF3ufTLFwoFyN8BNoToEV4MCovk9Xjnxw95zQBgHbdH,dark,
pokemon/type/1,3hF3ufTLFwoFyN8BNoToEV4MCovk9Xjnxw95zQBgHbdH,fire,
pokemon/name,3imSvyDNdQ8YQr5dhRhJX9tSH7decvohc44Nu95H9ZBz,haxorus,
pokemon/stat/attack,3imSvyDNdQ8YQr5dhRhJX9tSH7decvohc44Nu95H9ZBz,147,
pokemon/stat/defense,3imSvyDNdQ8YQr5dhRhJX9tSH7decvohc44Nu95H9ZBz,90,
pokemon/stat/hp,3imSvyDNdQ8YQr5dhRhJX9tSH7decvohc44Nu95H9ZBz,76,
pokemon/stat/special-attack,3imSvyDNdQ8YQr5dhRhJX9tSH7decvohc44Nu95H9ZBz,60,
pokemon/stat/special-defense,3imSvyDNdQ8YQr5dhRhJX9tSH7decvohc44Nu95H9ZBz,70,
pokemon/stat/speed,3imSvyDNdQ8YQr5dhRhJX9tSH7decvohc44Nu95H9ZBz,97,
pokemon/type/0,3imSvyDNdQ8YQr5dhRhJX9tSH7decvohc44Nu95H9ZBz,dragon,
pokemon/name,3jxu5eFHni7t2MXTrwpszyBtTLoMP5BGV1fuCFY6kwtN,flutter-mane,
pokemon/stat/attack,3jxu5eFHni7t2MXTrwpszyBtTLoMP5BGV1fuCFY6kwtN,55,
pokemon/stat/defense,3jxu5eFHni7t2MXTrwpszyBtTLoMP5BGV1fuCFY6kwtN,55,
pokemon/stat/hp,3jxu5eFHni7t2MXTrwpszyBtTLoMP5BGV1fuCFY6kwtN,55,
pokemon/stat/special-attack,3jxu5eFHni7t2MXTrwpszyBtTLoMP5BGV1fuCFY6kwtN,135,
pokemon/stat/special-defense,3jxu5eFHni7t2MXTrwpszyBtTLoMP5BGV1fuCFY6kwtN,135,
pokemon/stat/speed,3jxu5eFHni7t2MXTrwpszyBtTLoMP5BGV1fuCFY6kwtN,135,
pokemon/type/0,3jxu5eFHni7t2MXTrwpszyBtTLoMP5BGV1fuCFY6kwtN,ghost,
pokemon/type/1,3jxu5eFHni7t2MXTrwpszyBtTLoMP5BGV1fuCFY6kwtN,fairy,
pokemon/name,3k3JcudmRovHK5tz4j6pR9JALKQWLCjpfsiPz8cmGbvM,braviary,
pokemon/stat/attack,3k3JcudmRovHK5tz4j6pR9JALKQWLCjpfsiPz8cmGbvM,123,
pokemon/stat/defense,3k3JcudmRovHK5tz4j6pR9JALKQWLCjpfsiPz8cmGbvM,75,
pokemon/stat/hp,3k3JcudmRovHK5tz4j6pR9JALKQWLCjpfsiPz8cmGbvM,100,
pokemon/stat/special-attack,3k3JcudmRovHK5tz4j6pR9JALKQWLCjpfsiPz8cmGbvM,57,
pokemon/stat/special-defense,3k3JcudmRovHK5tz4j6pR9JALKQWLCjpfsiPz8cmGbvM,75,
pokemon/stat/speed,3k3JcudmRovHK5tz4j6pR9JALKQWLCjpfsiPz8cmGbvM,80,
pokemon/type/0,3k3JcudmRovHK5tz4j6pR9JALKQWLCjpfsiPz8cmGbvM,normal,
pokemon/type/1,3k3JcudmRovHK5tz4j6pR9JALKQWLCjpfsiPz8cmGbvM,flying,
pokemon/name,3kTnNYDU3dDtB2CGW5eocqMLSUx9k9pf7QbsK1ksw3Bp,blaziken-mega,
pokemon/stat/attack,3kTnNYDU3dDtB2CGW5eocqMLSUx9k9pf7QbsK1ksw3Bp,160,
pokemon/stat/defense,3kTnNYDU3dDtB2CGW5eocqMLSUx9k9pf7QbsK1ksw3Bp,80,
pokemon/stat/hp,3kTnNYDU3dDtB2CGW5eocqMLSUx9k9pf7QbsK1ksw3Bp,80,
pokemon/stat/special-attack,3kTnNYDU3dDtB2CGW5eocqMLSUx9k9pf7QbsK1ksw3Bp,130,
pokemon/stat/special-defense,3kTnNYDU3dDtB2CGW5eocqMLSUx9k9pf7QbsK1ksw3Bp,80,
pokemon/stat/speed,3kTnNYDU3dDtB2CGW5eocqMLSUx9k9pf7QbsK1ksw3Bp,100,
pokemon/type/0,3kTnNYDU3dDtB2CGW5eocqMLSUx9k9pf7QbsK1ksw3Bp,fire,
pokemon/type/1,3kTnNYDU3dDtB2CGW5eocqMLSUx9k9pf7QbsK1ksw3Bp,fighting,
pokemon/name,3mRK1qCyCDnz68tYxTMBq6DXydQqz9Whs7T61Kpxb534,corviknight-gmax,
pokemon/stat/attack,3mRK1qCyCDnz68tYxTMBq6DXydQqz9Whs7T61Kpxb534,87,
pokemon/stat/defense,3mRK1qCyCDnz68tYxTMBq6DXydQqz9Whs7T61Kpxb534,105,
pokemon/stat/hp,3mRK1qCyCDnz68tYxTMBq6DXydQqz9Whs7T61Kpxb534,98,
pokemon/stat/special-attack,3mRK1qCyCDnz68tYxTMBq6DXydQqz9Whs7T61Kpxb534,53,
pokemon/stat/special-defense,3mRK1qCyCDnz68tYxTMBq6DXydQqz9Whs7T61Kpxb534,85,
pokemon/stat/speed,3mRK1qCyCDnz68tYxTMBq6DXydQqz9Whs7T61Kpxb534,67,
pokemon/type/0,3mRK1qCyCDnz68tYxTMBq6DXydQqz9Whs7T61Kpxb534,flying,
pokemon/type/1,3mRK1qCyCDnz68tYxTMBq6DXydQqz9Whs7T61Kpxb534,steel,
pokemon/name,3mqPivNLwFb9iN4qaVgMWDu6cvjGNvPArMDmdZxFwBvo,minior-orange,
pokemon/stat/attack,3mqPivNLwFb9iN4qaVgMWDu6cvjGNvPArMDmdZxFwBvo,100,
pokemon/stat/defense,3mqPivNLwFb9iN4qaVgMWDu6cvjGNvPArMDmdZxFwBvo,60,
pokemon/stat/hp,3mqPivNLwFb9iN4qaVgMWDu6cvjGNvPArMDmdZxFwBvo,60,
pokemon/stat/special-attack,3mqPivNLwFb9iN4qaVgMWDu6cvjGNvPArMDmdZxFwBvo,100,
pokemon/stat/special-defense,3mqPivNLwFb9iN4qaVgMWDu6cvjGNvPArMDmdZxFwBvo,60,
pokemon/stat/speed,3mqPivNLwFb9iN4qaVgMWDu6cvjGNvPArMDmdZxFwBvo,120,
pokemon/type/0,3mqPivNLwFb9iN4qaVgMWDu6cvjGNvPArMDmdZxFwBvo,rock,
pokemon/type/1,3mqPivNLwFb9iN4qaVgMWDu6cvjGNvPArMDmdZxFwBvo,flying,
pokemon/name,3mwReUHcieG2Jpfjt8kmpyKiMREWaYSzEb3e2P2oKsDN,growlithe,
pokemon/stat/attack,3mwReUHcieG2Jpfjt8kmpyKiMREWaYSzEb3e2P2oKsDN,70,
pokemon/stat/defense,3mwReUHcieG2Jpfjt8kmpyKiMREWaYSzEb3e2P2oKsDN,45,
pokemon/stat/hp,3mwReUHcieG2Jpfjt8kmpyKiMREWaYSzEb3e2P2oKsDN,55,
pokemon/stat/special-attack,3mwReUHcieG2Jpfjt8kmpyKiMREWaYSzEb3e2P2oKsDN,70,
pokemon/stat/special-defense,3mwReUHcieG2Jpfjt8kmpyKiMREWaYSzEb3e2P2oKsDN,50,
pokemon/stat/speed,3mwReUHcieG2Jpfjt8kmpyKiMREWaYSzEb3e2P2oKsDN,60,
pokemon/type/0,3mwReUHcieG2Jpfjt8kmpyKiMREWaYSzEb3e2P2oKsDN,fire,
pokemon/name,3otvqVr6MMNobi5SYzkE6YmUC42bD3GxytTw9BWhucSV,staravia,
pokemon/stat/attack,3otvqVr6MMNobi5SYzkE6YmUC42bD3GxytTw9BWhucSV,75,
pokemon/stat/defense,3otvqVr6MMNobi5SYzkE6YmUC42bD3GxytTw9BWhucSV,50,
pokemon/stat/hp,3otvqVr6MMNobi5SYzkE6YmUC42bD3GxytTw9BWhucSV,55,
pokemon/stat/special-attack,3otvqVr6MMNobi5SYzkE6YmUC42bD3GxytTw9BWhucSV,40,
pokemon/stat/special-defense,3otvqVr6MMNobi5SYzkE6YmUC42bD3GxytTw9BWhucSV,40,
pokemon/stat/speed,3otvqVr6MMNobi5SYzkE6YmUC42bD3GxytTw9BWhucSV,80,
pokemon/type/0,3otvqVr6MMNobi5SYzkE6YmUC42bD3GxytTw9BWhucSV,normal,
pokemon/type/1,3otvqVr6MMNobi5SYzkE6YmUC42bD3GxytTw9BWhucSV,flying,
pokemon/name,3rXVzi39rKv2LrTwB6eFCFYzPfWXD3CRavwjN3Ct8rHM,thievul,
pokemon/stat/attack,3rXVzi39rKv2LrTwB6eFCFYzPfWXD3CRavwjN3Ct8rHM,58,
pokemon/stat/defense,3rXVzi39rKv2LrTwB6eFCFYzPfWXD3CRavwjN3Ct8rHM,58,
pokemon/stat/hp,3rXVzi39rKv2LrTwB6eFCFYzPfWXD3CRavwjN3Ct8rHM,70,
pokemon/stat/special-attack,3rXVzi39rKv2LrTwB6eFCFYzPfWXD3CRavwjN3Ct8rHM,87,
pokemon/stat/special-defense,3rXVzi39rKv2LrTwB6eFCFYzPfWXD3CRavwjN3Ct8rHM,92,
pokemon/stat/speed,3rXVzi39rKv2LrTwB6eFCFYzPfWXD3CRavwjN3Ct8rHM,90,
pokemon/type/0,3rXVzi39rKv2LrTwB6eFCFYzPfWXD3CRavwjN3Ct8rHM,dark,
pokemon/name,3rejoNSaQPpoDQaY9KWR9HvgGPBsgm1AuVaYMvS3a6vU,pikachu-rock-star,
pokemon/stat/attack,3rejoNSaQPpoDQaY9KWR9HvgGPBsgm1AuVaYMvS3a6vU,55,
pokemon/stat/defense,3rejoNSaQPpoDQaY9KWR9HvgGPBsgm1AuVaYMvS3a6vU,40,
pokemon/stat/hp,3rejoNSaQPpoDQaY9KWR9HvgGPBsgm1AuVaYMvS3a6vU,35,
pokemon/stat/special-attack,3rejoNSaQPpoDQaY9KWR9HvgGPBsgm1AuVaYMvS3a6vU,50,
pokemon/stat/special-defense,3rejoNSaQPpoDQaY9KWR9HvgGPBsgm1AuVaYMvS3a6vU,50,
pokemon/stat/speed,3rejoNSaQPpoDQaY9KWR9HvgGPBsgm1AuVaYMvS3a6vU,90,
pokemon/type/0,3rejoNSaQPpoDQaY9KWR9HvgGPBsgm1AuVaYMvS3a6vU,electric,
pokemon/name,3rfMG7awVYWLLCbyuwgXU87c1eEkG6xHqRaMHSQJKYfG,ho-oh,
pokemon/stat/attack,3rfMG7awVYWLLCbyuwgXU87c1eEkG6xHqRaMHSQJKYfG,130,
pokemon/stat/defense,3rfMG7awVYWLLCbyuwgXU87c1eEkG6xHqRaMHSQJKYfG,90,
pokemon/stat/hp,3rfMG7awVYWLLCbyuwgXU87c1eEkG6xHqRaMHSQJKYfG,106,
pokemon/stat/special-attack,3rfMG7awVYWLLCbyuwgXU87c1eEkG6xHqRaMHSQJKYfG,110,
pokemon/stat/special-defense,3rfMG7awVYWLLCbyuwgXU87c1eEkG6xHqRaMHSQJKYfG,154,
pokemon/stat/speed,3rfMG7awVYWLLCbyuwgXU87c1eEkG6xHqRaMHSQJKYfG,90,
pokemon/type/0,3rfMG7awVYWLLCbyuwgXU87c1eEkG6xHqRaMHSQJKYfG,fire,
pokemon/type/1,3rfMG7awVYWLLCbyuwgXU87c1eEkG6xHqRaMHSQJKYfG,flying,
pokemon/name,3sYmLb8TsWXEe7S2VykNyXCCR6PghNdUdxiWKjKTb2Dd,blissey,
pokemon/stat/attack,3sYmLb8TsWXEe7S2VykNyXCCR6PghNdUdxiWKjKTb2Dd,10,
pokemon/stat/defense,3sYmLb8TsWXEe7S2VykNyXCCR6PghNdUdxiWKjKTb2Dd,10,
pokemon/stat/hp,3sYmLb8TsWXEe7S2VykNyXCCR6PghNdUdxiWKjKTb2Dd,255,
pokemon/stat/special-attack,3sYmLb8TsWXEe7S2VykNyXCCR6PghNdUdxiWKjKTb2Dd,75,
pokemon/stat/special-defense,3sYmLb8TsWXEe7S2VykNyXCCR6PghNdUdxiWKjKTb2Dd,135,
pokemon/stat/speed,3sYmLb8TsWXEe7S2VykNyXCCR6PghNdUdxiWKjKTb2Dd,55,
pokemon/type/0,3sYmLb8TsWXEe7S2VykNyXCCR6PghNdUdxiWKjKTb2Dd,normal,
pokemon/name,3sw159BPgTdRa9SnTfiSXnSNLHrBNMdrJuRsjmSN4zc3,binacle,
pokemon/stat/attack,3sw159BPgTdRa9SnTfiSXnSNLHrBNMdrJuRsjmSN4zc3,52,
pokemon/stat/defense,3sw159BPgTdRa9SnTfiSXnSNLHrBNMdrJuRsjmSN4zc3,67,
pokemon/stat/hp,3sw159BPgTdRa9SnTfiSXnSNLHrBNMdrJuRsjmSN4zc3,42,
pokemon/stat/special-attack,3sw159BPgTdRa9SnTfiSXnSNLHrBNMdrJuRsjmSN4zc3,39,
pokemon/stat/special-defense,3sw159BPgTdRa9SnTfiSXnSNLHrBNMdrJuRsjmSN4zc3,56,
pokemon/stat/speed,3sw159BPgTdRa9SnTfiSXnSNLHrBNMdrJuRsjmSN4zc3,50,
pokemon/type/0,3sw159BPgTdRa9SnTfiSXnSNLHrBNMdrJuRsjmSN4zc3,rock,
pokemon/type/1,3sw159BPgTdRa9SnTfiSXnSNLHrBNMdrJuRsjmSN4zc3,water,
pokemon/name,3tnvdfpHowasXoosJ21ATtCMZTxJpFWKPDH9G8kgC8Ff,whismur,
pokemon/stat/attack,3tnvdfpHowasXoosJ21ATtCMZTxJpFWKPDH9G8kgC8Ff,51,
pokemon/stat/defense,3tnvdfpHowasXoosJ21ATtCMZTxJpFWKPDH9G8kgC8Ff,23,
pokemon/stat/hp,3tnvdfpHowasXoosJ21ATtCMZTxJpFWKPDH9G8kgC8Ff,64,
pokemon/stat/special-attack,3tnvdfpHowasXoosJ21ATtCMZTxJpFWKPDH9G8kgC8Ff,51,
pokemon/stat/special-defense,3tnvdfpHowasXoosJ21ATtCMZTxJpFWKPDH9G8kgC8Ff,23,
pokemon/stat/speed,3tnvdfpHowasXoosJ21ATtCMZTxJpFWKPDH9G8kgC8Ff,28,
pokemon/type/0,3tnvdfpHowasXoosJ21ATtCMZTxJpFWKPDH9G8kgC8Ff,normal,
pokemon/name,3vwzeYgWDcFgeG2yqKGBRnDk58B2QQAiwRe6zZYY6p9v,garchomp,
pokemon/stat/attack,3vwzeYgWDcFgeG2yqKGBRnDk58B2QQAiwRe6zZYY6p9v,130,
